warehouse_id,warehouse_region,capacity_units,fixed_daily_cost_usd
WH-W100088,West,110000,1680
WH-C100089,Central,180000,2600
WH-N100090,North,120000,1800
WH-S100091,South,115000,1700
WH-E100092,East,118000,1750
WH-W100093,West,110000,1680
WH-C100094,Central,180000,2600
WH-N100095,North,120000,1800
WH-S100096,South,115000,1700
WH-E100097,East,118000,1750
WH-W100098,West,110000,1680
WH-C100099,Central,180000,2600
WH-N100100,North,120000,1800
WH-S100101,South,115000,1700
WH-E100102,East,118000,1750
WH-W100103,West,110000,1680
WH-C100104,Central,180000,2600
WH-N100105,North,120000,1800
WH-S100106,South,115000,1700
WH-E100107,East,118000,1750
WH-W100108,West,110000,1680
WH-C100109,Central,180000,2600
WH-N100110,North,120000,1800
WH-S100111,South,115000,1700
WH-E100112,East,118000,1750
WH-W100113,West,110000,1680
WH-C100114,Central,180000,2600
WH-N100115,North,120000,1800
WH-S100116,South,115000,1700
WH-E100117,East,118000,1750
WH-W100118,West,110000,1680
WH-C100119,Central,180000,2600
WH-N100120,North,120000,1800
WH-S100121,South,115000,1700
WH-E100122,East,118000,1750
WH-W100123,West,110000,1680
WH-C100124,Central,180000,2600
WH-N100125,North,120000,1800
WH-S100126,South,115000,1700
WH-E100127,East,118000,1750
WH-W100128,West,110000,1680
WH-C100129,Central,180000,2600
WH-N100130,North,120000,1800
WH-S100131,South,115000,1700
WH-E100132,East,118000,1750
WH-W100133,West,110000,1680
WH-C100134,Central,180000,2600
WH-N100135,North,120000,1800
WH-S100136,South,115000,1700
WH-E100137,East,118000,1750
WH-W100138,West,110000,1680
WH-C100139,Central,180000,2600
WH-N100140,North,120000,1800
WH-S100141,South,115000,1700
WH-E100142,East,118000,1750
WH-W100143,West,110000,1680
WH-C100144,Central,180000,2600
WH-N100145,North,120000,1800
WH-S100146,South,115000,1700
WH-E100147,East,118000,1750
WH-W100148,West,110000,1680
WH-C100149,Central,180000,2600
WH-N100150,North,120000,1800
WH-S100151,South,115000,1700
WH-E100152,East,118000,1750
WH-W100153,West,110000,1680
WH-C100154,Central,180000,2600
WH-N100155,North,120000,1800
WH-S100156,South,115000,1700
WH-E100157,East,118000,1750
WH-W100158,West,110000,1680
WH-C100159,Central,180000,2600
WH-N100160,North,120000,1800
WH-S100161,South,115000,1700
WH-E100162,East,118000,1750
WH-W100163,West,110000,1680
WH-C100164,Central,180000,2600
WH-N100165,North,120000,1800
WH-S100166,South,115000,1700
WH-E100167,East,118000,1750
WH-W100168,West,110000,1680
WH-C100169,Central,180000,2600
WH-N100170,North,120000,1800
WH-S100171,South,115000,1700
WH-E100172,East,118000,1750
WH-W100173,West,110000,1680
WH-C100174,Central,180000,2600
WH-N100175,North,120000,1800
WH-S100176,South,115000,1700
WH-E100177,East,118000,1750
WH-W100178,West,110000,1680
WH-C100179,Central,180000,2600
WH-N100180,North,120000,1800
WH-S100181,South,115000,1700
WH-E100182,East,118000,1750
WH-W100183,West,110000,1680
WH-C100184,Central,180000,2600
WH-N100185,North,120000,1800
WH-S100186,South,115000,1700
WH-E100187,East,118000,1750
WH-W100188,West,110000,1680
WH-C100189,Central,180000,2600
WH-N100190,North,120000,1800
WH-S100191,South,115000,1700
WH-E100192,East,118000,1750
WH-W100193,West,110000,1680
WH-C100194,Central,180000,2600
WH-N100195,North,120000,1800
WH-S100196,South,115000,1700
WH-E100197,East,118000,1750
WH-W100198,West,110000,1680
WH-C100199,Central,180000,2600
WH-N100200,North,120000,1800
WH-S100201,South,115000,1700
WH-E100202,East,118000,1750
WH-W100203,West,110000,1680
WH-C100204,Central,180000,2600
WH-N100205,North,120000,1800
WH-S100206,South,115000,1700
WH-E100207,East,118000,1750
WH-W100208,West,110000,1680
WH-C100209,Central,180000,2600
WH-N100210,North,120000,1800
WH-S100211,South,115000,1700
WH-E100212,East,118000,1750
WH-W100213,West,110000,1680
WH-C100214,Central,180000,2600
WH-N100215,North,120000,1800
WH-S100216,South,115000,1700
WH-E100217,East,118000,1750
WH-W100218,West,110000,1680
WH-C100219,Central,180000,2600
WH-N100220,North,120000,1800
WH-S100221,South,115000,1700
WH-E100222,East,118000,1750
WH-W100223,West,110000,1680
WH-C100224,Central,180000,2600
WH-N100225,North,120000,1800
WH-S100226,South,115000,1700
WH-E100227,East,118000,1750
WH-W100228,West,110000,1680
WH-C100229,Central,180000,2600
WH-N100230,North,120000,1800
WH-S100231,South,115000,1700
WH-E100232,East,118000,1750
WH-W100233,West,110000,1680
WH-C100234,Central,180000,2600
WH-N100235,North,120000,1800
WH-S100236,South,115000,1700
WH-E100237,East,118000,1750
WH-W100238,West,110000,1680
WH-C100239,Central,180000,2600
WH-N100240,North,120000,1800
WH-S100241,South,115000,1700
WH-E100242,East,118000,1750
WH-W100243,West,110000,1680
WH-C100244,Central,180000,2600
WH-N100245,North,120000,1800
WH-S100246,South,115000,1700
WH-E100247,East,118000,1750
WH-W100248,West,110000,1680
WH-C100249,Central,180000,2600
WH-N100250,North,120000,1800
WH-S100251,South,115000,1700
WH-E100252,East,118000,1750
WH-W100253,West,110000,1680
WH-C100254,Central,180000,2600
WH-N100255,North,120000,1800
WH-S100256,South,115000,1700
WH-E100257,East,118000,1750
WH-W100258,West,110000,1680
WH-C100259,Central,180000,2600
WH-N100260,North,120000,1800
WH-S100261,South,115000,1700
WH-E100262,East,118000,1750
WH-W100263,West,110000,1680
WH-C100264,Central,180000,2600
WH-N100265,North,120000,1800
WH-S100266,South,115000,1700
WH-E100267,East,118000,1750
WH-W100268,West,110000,1680
WH-C100269,Central,180000,2600
WH-N100270,North,120000,1800
WH-S100271,South,115000,1700
WH-E100272,East,118000,1750
WH-W100273,West,110000,1680
WH-C100274,Central,180000,2600
WH-N100275,North,120000,1800
WH-S100276,South,115000,1700
WH-E100277,East,118000,1750
WH-W100278,West,110000,1680
WH-C100279,Central,180000,2600
WH-N100280,North,120000,1800
WH-S100281,South,115000,1700
WH-E100282,East,118000,1750
WH-W100283,West,110000,1680
WH-C100284,Central,180000,2600
WH-N100285,North,120000,1800
WH-S100286,South,115000,1700
WH-E100287,East,118000,1750
WH-W100288,West,110000,1680
WH-C100289,Central,180000,2600
WH-N100290,North,120000,1800
WH-S100291,South,115000,1700
WH-E100292,East,118000,1750
WH-W100293,West,110000,1680
WH-C100294,Central,180000,2600
WH-N100295,North,120000,1800
WH-S100296,South,115000,1700
WH-E100297,East,118000,1750
WH-W100298,West,110000,1680
WH-C100299,Central,180000,2600
WH-N100300,North,120000,1800
WH-S100301,South,115000,1700
WH-E100302,East,118000,1750
WH-W100303,West,110000,1680
WH-C100304,Central,180000,2600
WH-N100305,North,120000,1800
WH-S100306,South,115000,1700
WH-E100307,East,118000,1750
WH-W100308,West,110000,1680
WH-C100309,Central,180000,2600
WH-N100310,North,120000,1800
WH-S100311,South,115000,1700
WH-E100312,East,118000,1750
WH-W100313,West,110000,1680
WH-C100314,Central,180000,2600
WH-N100315,North,120000,1800
WH-S100316,South,115000,1700
WH-E100317,East,118000,1750
WH-W100318,West,110000,1680
WH-C100319,Central,180000,2600
WH-N100320,North,120000,1800
WH-S100321,South,115000,1700
WH-E100322,East,118000,1750
WH-W100323,West,110000,1680
WH-C100324,Central,180000,2600
WH-N100325,North,120000,1800
WH-S100326,South,115000,1700
WH-E100327,East,118000,1750
WH-W100328,West,110000,1680
WH-C100329,Central,180000,2600
WH-N100330,North,120000,1800
WH-S100331,South,115000,1700
WH-E100332,East,118000,1750
WH-W100333,West,110000,1680
WH-C100334,Central,180000,2600
WH-N100335,North,120000,1800
WH-S100336,South,115000,1700
WH-E100337,East,118000,1750
WH-W100338,West,110000,1680
WH-C100339,Central,180000,2600
WH-N100340,North,120000,1800
WH-S100341,South,115000,1700
WH-E100342,East,118000,1750
WH-W100343,West,110000,1680
WH-C100344,Central,180000,2600
WH-N100345,North,120000,1800
WH-S100346,South,115000,1700
WH-E100347,East,118000,1750
WH-W100348,West,110000,1680
WH-C100349,Central,180000,2600
WH-N100350,North,120000,1800
WH-S100351,South,115000,1700
WH-E100352,East,118000,1750
WH-W100353,West,110000,1680
WH-C100354,Central,180000,2600
WH-N100355,North,120000,1800
WH-S100356,South,115000,1700
WH-E100357,East,118000,1750
WH-W100358,West,110000,1680
WH-C100359,Central,180000,2600
WH-N100360,North,120000,1800
WH-S100361,South,115000,1700
WH-E100362,East,118000,1750
WH-W100363,West,110000,1680
WH-C100364,Central,180000,2600
WH-N100365,North,120000,1800
WH-S100366,South,115000,1700
WH-E100367,East,118000,1750
WH-W100368,West,110000,1680
WH-C100369,Central,180000,2600
WH-N100370,North,120000,1800
WH-S100371,South,115000,1700
WH-E100372,East,118000,1750
WH-W100373,West,110000,1680
WH-C100374,Central,180000,2600
WH-N100375,North,120000,1800
WH-S100376,South,115000,1700
WH-E100377,East,118000,1750
WH-W100378,West,110000,1680
WH-C100379,Central,180000,2600
WH-N100380,North,120000,1800
WH-S100381,South,115000,1700
WH-E100382,East,118000,1750
WH-W100383,West,110000,1680
WH-C100384,Central,180000,2600
WH-N100385,North,120000,1800
WH-S100386,South,115000,1700
WH-E100387,East,118000,1750
WH-W100388,West,110000,1680
WH-C100389,Central,180000,2600
WH-N100390,North,120000,1800
WH-S100391,South,115000,1700
WH-E100392,East,118000,1750
WH-W100393,West,110000,1680
WH-C100394,Central,180000,2600
WH-N100395,North,120000,1800
WH-S100396,South,115000,1700
WH-E100397,East,118000,1750
WH-W100398,West,110000,1680
WH-C100399,Central,180000,2600
WH-N100400,North,120000,1800
WH-S100401,South,115000,1700
WH-E100402,East,118000,1750
WH-W100403,West,110000,1680
WH-C100404,Central,180000,2600
WH-N100405,North,120000,1800
WH-S100406,South,115000,1700
WH-E100407,East,118000,1750
WH-W100408,West,110000,1680
WH-C100409,Central,180000,2600
WH-N100410,North,120000,1800
WH-S100411,South,115000,1700
WH-E100412,East,118000,1750
WH-W100413,West,110000,1680
WH-C100414,Central,180000,2600
WH-N100415,North,120000,1800
WH-S100416,South,115000,1700
WH-E100417,East,118000,1750
WH-W100418,West,110000,1680
WH-C100419,Central,180000,2600
WH-N100420,North,120000,1800
WH-S100421,South,115000,1700
WH-E100422,East,118000,1750
WH-W100423,West,110000,1680
WH-C100424,Central,180000,2600
WH-N100425,North,120000,1800
WH-S100426,South,115000,1700
WH-E100427,East,118000,1750
WH-W100428,West,110000,1680
WH-C100429,Central,180000,2600
WH-N100430,North,120000,1800
WH-S100431,South,115000,1700
WH-E100432,East,118000,1750
WH-W100433,West,110000,1680
WH-C100434,Central,180000,2600
WH-N100435,North,120000,1800
WH-S100436,South,115000,1700
WH-E100437,East,118000,1750
WH-W100438,West,110000,1680
WH-C100439,Central,180000,2600
WH-N100440,North,120000,1800
WH-S100441,South,115000,1700
WH-E100442,East,118000,1750
WH-W100443,West,110000,1680
WH-C100444,Central,180000,2600
WH-N100445,North,120000,1800
WH-S100446,South,115000,1700
WH-E100447,East,118000,1750
WH-W100448,West,110000,1680
WH-C100449,Central,180000,2600
WH-N100450,North,120000,1800
WH-S100451,South,115000,1700
WH-E100452,East,118000,1750
WH-W100453,West,110000,1680
WH-C100454,Central,180000,2600
WH-N100455,North,120000,1800
WH-S100456,South,115000,1700
WH-E100457,East,118000,1750
WH-W100458,West,110000,1680
WH-C100459,Central,180000,2600
WH-N100460,North,120000,1800
WH-S100461,South,115000,1700
WH-E100462,East,118000,1750
WH-W100463,West,110000,1680
WH-C100464,Central,180000,2600
WH-N100465,North,120000,1800
WH-S100466,South,115000,1700
WH-E100467,East,118000,1750
WH-W100468,West,110000,1680
WH-C100469,Central,180000,2600
WH-N100470,North,120000,1800
WH-S100471,South,115000,1700
WH-E100472,East,118000,1750
WH-W100473,West,110000,1680
WH-C100474,Central,180000,2600
WH-N100475,North,120000,1800
WH-S100476,South,115000,1700
WH-E100477,East,118000,1750
WH-W100478,West,110000,1680
WH-C100479,Central,180000,2600
WH-N100480,North,120000,1800
WH-S100481,South,115000,1700
WH-E100482,East,118000,1750
WH-W100483,West,110000,1680
WH-C100484,Central,180000,2600
WH-N100485,North,120000,1800
WH-S100486,South,115000,1700
WH-E100487,East,118000,1750
WH-W100488,West,110000,1680
WH-C100489,Central,180000,2600
WH-N100490,North,120000,1800
WH-S100491,South,115000,1700
WH-E100492,East,118000,1750
WH-W100493,West,110000,1680
WH-C100494,Central,180000,2600
WH-N100495,North,120000,1800
WH-S100496,South,115000,1700
WH-E100497,East,118000,1750
WH-W100498,West,110000,1680
WH-C100499,Central,180000,2600
WH-N100500,North,120000,1800
WH-S100501,South,115000,1700
WH-E100502,East,118000,1750
WH-W100503,West,110000,1680
WH-C100504,Central,180000,2600
WH-N100505,North,120000,1800
WH-S100506,South,115000,1700
WH-E100507,East,118000,1750
WH-W100508,West,110000,1680
WH-C100509,Central,180000,2600
WH-N100510,North,120000,1800
WH-S100511,South,115000,1700
WH-E100512,East,118000,1750
WH-W100513,West,110000,1680
WH-C100514,Central,180000,2600
WH-N100515,North,120000,1800
WH-S100516,South,115000,1700
WH-E100517,East,118000,1750
WH-W100518,West,110000,1680
WH-C100519,Central,180000,2600
WH-N100520,North,120000,1800
WH-S100521,South,115000,1700
WH-E100522,East,118000,1750
WH-W100523,West,110000,1680
WH-C100524,Central,180000,2600
WH-N100525,North,120000,1800
WH-S100526,South,115000,1700
WH-E100527,East,118000,1750
WH-W100528,West,110000,1680
WH-C100529,Central,180000,2600
WH-N100530,North,120000,1800
WH-S100531,South,115000,1700
WH-E100532,East,118000,1750
WH-W100533,West,110000,1680
WH-C100534,Central,180000,2600
WH-N100535,North,120000,1800
WH-S100536,South,115000,1700
WH-E100537,East,118000,1750
WH-W100538,West,110000,1680
WH-C100539,Central,180000,2600
WH-N100540,North,120000,1800
WH-S100541,South,115000,1700
WH-E100542,East,118000,1750
WH-W100543,West,110000,1680
WH-C100544,Central,180000,2600
WH-N100545,North,120000,1800
WH-S100546,South,115000,1700
WH-E100547,East,118000,1750
WH-W100548,West,110000,1680
WH-C100549,Central,180000,2600
WH-N100550,North,120000,1800
WH-S100551,South,115000,1700
WH-E100552,East,118000,1750
WH-W100553,West,110000,1680
WH-C100554,Central,180000,2600
WH-N100555,North,120000,1800
WH-S100556,South,115000,1700
WH-E100557,East,118000,1750
WH-W100558,West,110000,1680
WH-C100559,Central,180000,2600
WH-N100560,North,120000,1800
WH-S100561,South,115000,1700
WH-E100562,East,118000,1750
WH-W100563,West,110000,1680
WH-C100564,Central,180000,2600
WH-N100565,North,120000,1800
WH-S100566,South,115000,1700
WH-E100567,East,118000,1750
WH-W100568,West,110000,1680
WH-C100569,Central,180000,2600
WH-N100570,North,120000,1800
WH-S100571,South,115000,1700
WH-E100572,East,118000,1750
WH-W100573,West,110000,1680
WH-C100574,Central,180000,2600
WH-N100575,North,120000,1800
WH-S100576,South,115000,1700
WH-E100577,East,118000,1750
WH-W100578,West,110000,1680
WH-C100579,Central,180000,2600
WH-N100580,North,120000,1800
WH-S100581,South,115000,1700
WH-E100582,East,118000,1750
WH-W100583,West,110000,1680
WH-C100584,Central,180000,2600
WH-N100585,North,120000,1800
WH-S100586,South,115000,1700
WH-E100587,East,118000,1750
WH-W100588,West,110000,1680
WH-C100589,Central,180000,2600
WH-N100590,North,120000,1800
WH-S100591,South,115000,1700
WH-E100592,East,118000,1750
WH-W100593,West,110000,1680
WH-C100594,Central,180000,2600
WH-N100595,North,120000,1800
WH-S100596,South,115000,1700
WH-E100597,East,118000,1750
WH-W100598,West,110000,1680
WH-C100599,Central,180000,2600
WH-N100600,North,120000,1800
WH-S100601,South,115000,1700
WH-E100602,East,118000,1750
WH-W100603,West,110000,1680
WH-C100604,Central,180000,2600
WH-N100605,North,120000,1800
WH-S100606,South,115000,1700
WH-E100607,East,118000,1750
WH-W100608,West,110000,1680
WH-C100609,Central,180000,2600
WH-N100610,North,120000,1800
WH-S100611,South,115000,1700
WH-E100612,East,118000,1750
WH-W100613,West,110000,1680
WH-C100614,Central,180000,2600
WH-N100615,North,120000,1800
WH-S100616,South,115000,1700
WH-E100617,East,118000,1750
WH-W100618,West,110000,1680
WH-C100619,Central,180000,2600
WH-N100620,North,120000,1800
WH-S100621,South,115000,1700
WH-E100622,East,118000,1750
WH-W100623,West,110000,1680
WH-C100624,Central,180000,2600
WH-N100625,North,120000,1800
WH-S100626,South,115000,1700
WH-E100627,East,118000,1750
WH-W100628,West,110000,1680
WH-C100629,Central,180000,2600
WH-N100630,North,120000,1800
WH-S100631,South,115000,1700
WH-E100632,East,118000,1750
WH-W100633,West,110000,1680
WH-C100634,Central,180000,2600
WH-N100635,North,120000,1800
WH-S100636,South,115000,1700
WH-E100637,East,118000,1750
WH-W100638,West,110000,1680
WH-C100639,Central,180000,2600
WH-N100640,North,120000,1800
WH-S100641,South,115000,1700
WH-E100642,East,118000,1750
WH-W100643,West,110000,1680
WH-C100644,Central,180000,2600
WH-N100645,North,120000,1800
WH-S100646,South,115000,1700
WH-E100647,East,118000,1750
WH-W100648,West,110000,1680
WH-C100649,Central,180000,2600
WH-N100650,North,120000,1800
WH-S100651,South,115000,1700
WH-E100652,East,118000,1750
WH-W100653,West,110000,1680
WH-C100654,Central,180000,2600
WH-N100655,North,120000,1800
WH-S100656,South,115000,1700
WH-E100657,East,118000,1750
WH-W100658,West,110000,1680
WH-C100659,Central,180000,2600
WH-N100660,North,120000,1800
WH-S100661,South,115000,1700
WH-E100662,East,118000,1750
WH-W100663,West,110000,1680
WH-C100664,Central,180000,2600
WH-N100665,North,120000,1800
WH-S100666,South,115000,1700
WH-E100667,East,118000,1750
WH-W100668,West,110000,1680
WH-C100669,Central,180000,2600
WH-N100670,North,120000,1800
WH-S100671,South,115000,1700
WH-E100672,East,118000,1750
WH-W100673,West,110000,1680
WH-C100674,Central,180000,2600
WH-N100675,North,120000,1800
WH-S100676,South,115000,1700
WH-E100677,East,118000,1750
WH-W100678,West,110000,1680
WH-C100679,Central,180000,2600
WH-N100680,North,120000,1800
WH-S100681,South,115000,1700
WH-E100682,East,118000,1750
WH-W100683,West,110000,1680
WH-C100684,Central,180000,2600
WH-N100685,North,120000,1800
WH-S100686,South,115000,1700
WH-E100687,East,118000,1750
WH-W100688,West,110000,1680
WH-C100689,Central,180000,2600
WH-N100690,North,120000,1800
WH-S100691,South,115000,1700
WH-E100692,East,118000,1750
WH-W100693,West,110000,1680
WH-C100694,Central,180000,2600
WH-N100695,North,120000,1800
WH-S100696,South,115000,1700
WH-E100697,East,118000,1750
WH-W100698,West,110000,1680
WH-C100699,Central,180000,2600
WH-N100700,North,120000,1800
WH-S100701,South,115000,1700
WH-E100702,East,118000,1750
WH-W100703,West,110000,1680
WH-C100704,Central,180000,2600
WH-N100705,North,120000,1800
WH-S100706,South,115000,1700
WH-E100707,East,118000,1750
WH-W100708,West,110000,1680
WH-C100709,Central,180000,2600
WH-N100710,North,120000,1800
WH-S100711,South,115000,1700
WH-E100712,East,118000,1750
WH-W100713,West,110000,1680
WH-C100714,Central,180000,2600
WH-N100715,North,120000,1800
WH-S100716,South,115000,1700
WH-E100717,East,118000,1750
WH-W100718,West,110000,1680
WH-C100719,Central,180000,2600
WH-N100720,North,120000,1800
WH-S100721,South,115000,1700
WH-E100722,East,118000,1750
WH-W100723,West,110000,1680
WH-C100724,Central,180000,2600
WH-N100725,North,120000,1800
WH-S100726,South,115000,1700
WH-E100727,East,118000,1750
WH-W100728,West,110000,1680
WH-C100729,Central,180000,2600
WH-N100730,North,120000,1800
WH-S100731,South,115000,1700
WH-E100732,East,118000,1750
WH-W100733,West,110000,1680
WH-C100734,Central,180000,2600
WH-N100735,North,120000,1800
WH-S100736,South,115000,1700
WH-E100737,East,118000,1750
WH-W100738,West,110000,1680
WH-C100739,Central,180000,2600
WH-N100740,North,120000,1800
WH-S100741,South,115000,1700
WH-E100742,East,118000,1750
WH-W100743,West,110000,1680
WH-C100744,Central,180000,2600
WH-N100745,North,120000,1800
WH-S100746,South,115000,1700
WH-E100747,East,118000,1750
WH-W100748,West,110000,1680
WH-C100749,Central,180000,2600
WH-N100750,North,120000,1800
WH-S100751,South,115000,1700
WH-E100752,East,118000,1750
WH-W100753,West,110000,1680
WH-C100754,Central,180000,2600
WH-N100755,North,120000,1800
WH-S100756,South,115000,1700
WH-E100757,East,118000,1750
WH-W100758,West,110000,1680
WH-C100759,Central,180000,2600
WH-N100760,North,120000,1800
WH-S100761,South,115000,1700
WH-E100762,East,118000,1750
WH-W100763,West,110000,1680
WH-C100764,Central,180000,2600
WH-N100765,North,120000,1800
WH-S100766,South,115000,1700
WH-E100767,East,118000,1750
WH-W100768,West,110000,1680
WH-C100769,Central,180000,2600
WH-N100770,North,120000,1800
WH-S100771,South,115000,1700
WH-E100772,East,118000,1750
WH-W100773,West,110000,1680
WH-C100774,Central,180000,2600
WH-N100775,North,120000,1800
WH-S100776,South,115000,1700
WH-E100777,East,118000,1750
WH-W100778,West,110000,1680
WH-C100779,Central,180000,2600
WH-N100780,North,120000,1800
WH-S100781,South,115000,1700
WH-E100782,East,118000,1750
WH-W100783,West,110000,1680
WH-C100784,Central,180000,2600
WH-N100785,North,120000,1800
WH-S100786,South,115000,1700
WH-E100787,East,118000,1750
WH-W100788,West,110000,1680
WH-C100789,Central,180000,2600
WH-N100790,North,120000,1800
WH-S100791,South,115000,1700
WH-E100792,East,118000,1750
WH-W100793,West,110000,1680
WH-C100794,Central,180000,2600
WH-N100795,North,120000,1800
WH-S100796,South,115000,1700
WH-E100797,East,118000,1750
WH-W100798,West,110000,1680
WH-C100799,Central,180000,2600
WH-N100800,North,120000,1800
WH-S100801,South,115000,1700
WH-E100802,East,118000,1750
WH-W100803,West,110000,1680
WH-C100804,Central,180000,2600
WH-N100805,North,120000,1800
WH-S100806,South,115000,1700
WH-E100807,East,118000,1750
WH-W100808,West,110000,1680
WH-C100809,Central,180000,2600
WH-N100810,North,120000,1800
WH-S100811,South,115000,1700
WH-E100812,East,118000,1750
WH-W100813,West,110000,1680
WH-C100814,Central,180000,2600
WH-N100815,North,120000,1800
WH-S100816,South,115000,1700
WH-E100817,East,118000,1750
WH-W100818,West,110000,1680
WH-C100819,Central,180000,2600
WH-N100820,North,120000,1800
WH-S100821,South,115000,1700
WH-E100822,East,118000,1750
WH-W100823,West,110000,1680
WH-C100824,Central,180000,2600
WH-N100825,North,120000,1800
WH-S100826,South,115000,1700
WH-E100827,East,118000,1750
WH-W100828,West,110000,1680
WH-C100829,Central,180000,2600
WH-N100830,North,120000,1800
WH-S100831,South,115000,1700
WH-E100832,East,118000,1750
WH-W100833,West,110000,1680
WH-C100834,Central,180000,2600
WH-N100835,North,120000,1800
WH-S100836,South,115000,1700
WH-E100837,East,118000,1750
WH-W100838,West,110000,1680
WH-C100839,Central,180000,2600
WH-N100840,North,120000,1800
WH-S100841,South,115000,1700
WH-E100842,East,118000,1750
WH-W100843,West,110000,1680
WH-C100844,Central,180000,2600
WH-N100845,North,120000,1800
WH-S100846,South,115000,1700
WH-E100847,East,118000,1750
WH-W100848,West,110000,1680
WH-C100849,Central,180000,2600
WH-N100850,North,120000,1800
WH-S100851,South,115000,1700
WH-E100852,East,118000,1750
WH-W100853,West,110000,1680
WH-C100854,Central,180000,2600
WH-N100855,North,120000,1800
WH-S100856,South,115000,1700
WH-E100857,East,118000,1750
WH-W100858,West,110000,1680
WH-C100859,Central,180000,2600
WH-N100860,North,120000,1800
WH-S100861,South,115000,1700
WH-E100862,East,118000,1750
WH-W100863,West,110000,1680
WH-C100864,Central,180000,2600
WH-N100865,North,120000,1800
WH-S100866,South,115000,1700
WH-E100867,East,118000,1750
WH-W100868,West,110000,1680
WH-C100869,Central,180000,2600
WH-N100870,North,120000,1800
WH-S100871,South,115000,1700
WH-E100872,East,118000,1750
WH-W100873,West,110000,1680
WH-C100874,Central,180000,2600
WH-N100875,North,120000,1800
WH-S100876,South,115000,1700
WH-E100877,East,118000,1750
WH-W100878,West,110000,1680
WH-C100879,Central,180000,2600
WH-N100880,North,120000,1800
WH-S100881,South,115000,1700
WH-E100882,East,118000,1750
WH-W100883,West,110000,1680
WH-C100884,Central,180000,2600
WH-N100885,North,120000,1800
WH-S100886,South,115000,1700
WH-E100887,East,118000,1750
WH-W100888,West,110000,1680
WH-C100889,Central,180000,2600
WH-N100890,North,120000,1800
WH-S100891,South,115000,1700
WH-E100892,East,118000,1750
WH-W100893,West,110000,1680
WH-C100894,Central,180000,2600
WH-N100895,North,120000,1800
WH-S100896,South,115000,1700
WH-E100897,East,118000,1750
WH-W100898,West,110000,1680
WH-C100899,Central,180000,2600
WH-N100900,North,120000,1800
WH-S100901,South,115000,1700
WH-E100902,East,118000,1750
WH-W100903,West,110000,1680
WH-C100904,Central,180000,2600
WH-N100905,North,120000,1800
WH-S100906,South,115000,1700
WH-E100907,East,118000,1750
WH-W100908,West,110000,1680
WH-C100909,Central,180000,2600
WH-N100910,North,120000,1800
WH-S100911,South,115000,1700
WH-E100912,East,118000,1750
WH-W100913,West,110000,1680
WH-C100914,Central,180000,2600
WH-N100915,North,120000,1800
